Scenario Name,Duration (seconds),Distance Traveled (meters),Choice,Distance to A (meters),Distance to B (meters)
Scenario11,78.12,187.09,0,34.70,140.98
Scenario11,68.18,337.34,2,122.41,9.69
Scenario10,53.38,235.19,1,8.80,140.73
Scenario8,45.07,218.22,1,13.60,132.71
Scenario3,61.35,349.87,2,118.50,13.83
Scenario12,58.12,316.60,0,113.63,18.68
Scenario9,46.21,235.46,1,5.69,136.62
Scenario7,42.19,231.19,1,5.97,136.64
Scenario2,44.55,223.69,1,14.89,135.49
Scenario1,68.42,347.11,2,127.19,5.50
Scenario5,55.52,329.72,2,124.25,8.13
Scenario11,52.01,210.45,0,20.15,135.73
Scenario4,76.42,233.61,0,24.03,132.73
Scenario6,64.20,330.41,2,120.82,11.54
Scenario1,98.57,249.96,1,15.13,120.75
Scenario12,59.70,296.92,0,94.58,38.80
Scenario12,20.18,52.40,0,155.22,278.09
Scenario1,22.72,0.00,0,204.15,328.84
Scenario1,2.47,0.00,0,203.37,328.02
Scenario1,30.59,80.36,0,142.31,265.91
Scenario2,4.73,0.00,0,203.46,328.11
Scenario12,18.21,0.00,0,203.97,328.65
Scenario12,9.42,0.00,0,203.63,328.30
Scenario12,6.14,0.00,0,203.51,328.17
Scenario12,25.61,50.90,0,248.91,374.00
Scenario12,2.35,0.00,0,203.37,328.02
Scenario12,7.03,0.00,0,203.54,328.20
Scenario9,14.51,0.00,0,203.82,328.49
Scenario9,27.62,0.00,0,204.33,329.02
Scenario9,13.45,0.00,0,203.79,328.46
Scenario7,3.82,0.00,0,203.04,327.89
Scenario7,28.92,0.00,0,203.98,328.87
Scenario6,15.30,27.40,0,195.27,319.74
Scenario12,16.40,69.12,0,146.04,269.16
Scenario12,42.61,119.38,0,93.08,213.96
Scenario11,0.02,0.00,0,203.28,327.93
Scenario6,4.25,0.00,0,203.44,328.10
